rank,author,title,year,kind,in_library,words,wikisource,epub,audio,audio_kind,audio_title,duration,audio_note,rights
86,Островский А.Н.,Бесприданница,1878,play,bespridannitsa,36235,https://ru.wikisource.org/wiki/%D0%91%D0%B5%D1%81%D0%BF%D1%80%D0%B8%D0%B4%D0%B0%D0%BD%D0%BD%D0%B8%D1%86%D0%B0_%28%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%91%D0%B5%D1%81%D0%BF%D1%80%D0%B8%D0%B4%D0%B0%D0%BD%D0%BD%D0%B8%D1%86%D0%B0_%28%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9%29,https://www.youtube.com/watch?v=y6b4l0xFEkk,video,Бесприданница. Аудиокнига. Александр Островский,3:05:45,,public domain in RU
87,Чехов А.П.,Ванька,1886,story,vanka,1156,https://ru.wikisource.org/wiki/%D0%92%D0%B0%D0%BD%D1%8C%D0%BA%D0%B0_%28%D0%A7%D0%B5%D1%85%D0%BE%D0%B2%2C_1886%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%92%D0%B0%D0%BD%D1%8C%D0%BA%D0%B0_%28%D0%A7%D0%B5%D1%85%D0%BE%D0%B2%2C_1886%29,https://www.youtube.com/watch?v=IKKXLmrojWU,video,Ванька. А.П. Чехов. (Полная версия) Аудиокнига,12:11,,public domain in RU
88,Сологуб Ф.К.,Мелкий бес,1907,novel,melkiy-bes,78828,https://ru.wikisource.org/wiki/%D0%9C%D0%B5%D0%BB%D0%BA%D0%B8%D0%B9_%D0%B1%D0%B5%D1%81_%28%D0%A1%D0%BE%D0%BB%D0%BE%D0%B3%D1%83%D0%B1%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%9C%D0%B5%D0%BB%D0%BA%D0%B8%D0%B9_%D0%B1%D0%B5%D1%81_%28%D0%A1%D0%BE%D0%BB%D0%BE%D0%B3%D1%83%D0%B1%29,https://www.youtube.com/playlist?list=PLQMl76KwLiCfKIDgbKQNWsKxpBc4Ebn7j,playlist,Мелкий бес — Фёдор Сологуб — аудиоспектакль,2:06:31,no single full upload found — playlist covers the whole book,public domain in RU
89,Гайдар А.П.,Тимур и его команда,1940,novella,timur-i-ego-komanda,17159,https://ru.wikisource.org/wiki/%D0%A2%D0%B8%D0%BC%D1%83%D1%80_%D0%B8_%D0%B5%D0%B3%D0%BE_%D0%BA%D0%BE%D0%BC%D0%B0%D0%BD%D0%B4%D0%B0_%28%D0%93%D0%B0%D0%B9%D0%B4%D0%B0%D1%80%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%A2%D0%B8%D0%BC%D1%83%D1%80_%D0%B8_%D0%B5%D0%B3%D0%BE_%D0%BA%D0%BE%D0%BC%D0%B0%D0%BD%D0%B4%D0%B0_%28%D0%93%D0%B0%D0%B9%D0%B4%D0%B0%D1%80%29,https://www.youtube.com/watch?v=49I21TfTrzo,video,Аудиокнига: Тимур и его команда. Гайдар,2:36:51,,public domain in RU
90,Фадеев А.А.,Молодая гвардия,1946,novel,,,,,https://www.youtube.com/watch?v=RLBXtvbvHlo,video,Александр Фадеев — Молодая гвардия / 1 из 4 / Моноспектакль,7:13:33,part 1 only; the rest is on the same channel,in copyright — no free text source
91,Андреев Л.Н.,Рассказ о семи повешенных,1908,novella,rasskaz-o-semi-poveshennykh,20704,https://ru.wikisource.org/wiki/%D0%A0%D0%B0%D1%81%D1%81%D0%BA%D0%B0%D0%B7_%D0%BE_%D1%81%D0%B5%D0%BC%D0%B8_%D0%BF%D0%BE%D0%B2%D0%B5%D1%88%D0%B5%D0%BD%D0%BD%D1%8B%D1%85_%28%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%A0%D0%B0%D1%81%D1%81%D0%BA%D0%B0%D0%B7_%D0%BE_%D1%81%D0%B5%D0%BC%D0%B8_%D0%BF%D0%BE%D0%B2%D0%B5%D1%88%D0%B5%D0%BD%D0%BD%D1%8B%D1%85_%28%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2%29,https://www.youtube.com/watch?v=bOJjOiUNWs4,video,Леонид Андреев «Рассказ о семи повешенных». Читает Глеб Логинов,1:24:07,,public domain in RU
92,Аксаков С.Т.,Аленький цветочек,1858,tale,alenkiy-tsvetochek,6854,https://ru.wikisource.org/wiki/%D0%90%D0%BB%D0%B5%D0%BD%D1%8C%D0%BA%D0%B8%D0%B9_%D1%86%D0%B2%D0%B5%D1%82%D0%BE%D1%87%D0%B5%D0%BA_%28%D0%90%D0%BA%D1%81%D0%B0%D0%BA%D0%BE%D0%B2%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%90%D0%BB%D0%B5%D0%BD%D1%8C%D0%BA%D0%B8%D0%B9_%D1%86%D0%B2%D0%B5%D1%82%D0%BE%D1%87%D0%B5%D0%BA_%28%D0%90%D0%BA%D1%81%D0%B0%D0%BA%D0%BE%D0%B2%29,https://www.youtube.com/watch?v=x-LknVMHRtM,video,Аленький цветочек. (Полная версия) Аудиосказка. Аксаков,1:07:55,,public domain in RU
93,Ершов П.П.,Конёк-Горбунок,1834,poem,konyok-gorbunok,9931,https://ru.wikisource.org/wiki/%D0%9A%D0%BE%D0%BD%D1%91%D0%BA-%D0%B3%D0%BE%D1%80%D0%B1%D1%83%D0%BD%D0%BE%D0%BA_%28%D0%95%D1%80%D1%88%D0%BE%D0%B2%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%9A%D0%BE%D0%BD%D1%91%D0%BA-%D0%B3%D0%BE%D1%80%D0%B1%D1%83%D0%BD%D0%BE%D0%BA_%28%D0%95%D1%80%D1%88%D0%BE%D0%B2%29,https://www.youtube.com/watch?v=HvsfnghlsB4,video,П. Ершов. Конёк-Горбунок. Читает Олег Табаков,1:39:23,,public domain in RU
94,Крылов И.А.,Басни,1825,fables,,,https://ru.wikisource.org/wiki/%D0%91%D0%B0%D1%81%D0%BD%D0%B8_%28%D0%9A%D1%80%D1%8B%D0%BB%D0%BE%D0%B2%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%91%D0%B0%D1%81%D0%BD%D0%B8_%28%D0%9A%D1%80%D1%8B%D0%BB%D0%BE%D0%B2%29,https://www.youtube.com/watch?v=uFxrpI26Qu4,video,Иван Крылов — Все басни (аудиокнига),6:52:28,,public domain in RU
95,Волков А.М.,Волшебник Изумрудного города,1939,novella,,,,,https://www.youtube.com/watch?v=YDJqsJj8pjQ,video,А. Волков «Волшебник Изумрудного города». Читает Алексей Борзунов,5:44:16,,in copyright — no free text source
96,Блок А.А.,Двенадцать,1918,poem,blok-dvenadtsat,1104,https://ru.wikisource.org/wiki/%D0%94%D0%B2%D0%B5%D0%BD%D0%B0%D0%B4%D1%86%D0%B0%D1%82%D1%8C_%28%D0%91%D0%BB%D0%BE%D0%BA%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%94%D0%B2%D0%B5%D0%BD%D0%B0%D0%B4%D1%86%D0%B0%D1%82%D1%8C_%28%D0%91%D0%BB%D0%BE%D0%BA%29,https://www.youtube.com/watch?v=dZTv7nh_R7s,video,А. Блок. Поэма «Двенадцать». Читает С. Юрский,19:53,,public domain in RU
97,Ахматова А.А.,Реквием,1963,poem,,,,,https://www.youtube.com/watch?v=86fqRZ-Epzo,video,Анна Ахматова — Реквием (поэма),14:37,,in copyright — no free text source
98,Айтматов Ч.,Белый пароход,1970,novella,,,,,https://www.youtube.com/watch?v=z-eCLHYO45M,video,"Белый пароход. Аудиокнига. Чингиз Айтматов, читает Павел Беседин",5:07:42,,in copyright — no free text source
99,Распутин В.Г.,Прощание с Матёрой,1976,novella,,,,,https://www.youtube.com/watch?v=6ryQ-jKsYk4,video,В. Распутин «Прощание с Матёрой»,8:54:24,,in copyright — no free text source
100,Довлатов С.Д.,Чемодан,1986,stories,,,,,https://www.youtube.com/watch?v=ZE9diIUdBOQ,video,С. Довлатов «Чемодан». Аудиокнига,3:07:33,,in copyright — no free text source
