rank,author,title,year,kind,in_library,words,wikisource,epub,audio,audio_kind,audio_title,duration,audio_note,rights
38,Булгаков М.А.,Белая гвардия,1925,novel,belaya-gvardiya,70940,https://ru.wikisource.org/wiki/%D0%91%D0%B5%D0%BB%D0%B0%D1%8F_%D0%B3%D0%B2%D0%B0%D1%80%D0%B4%D0%B8%D1%8F_%28%D0%91%D1%83%D0%BB%D0%B3%D0%B0%D0%BA%D0%BE%D0%B2%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%91%D0%B5%D0%BB%D0%B0%D1%8F_%D0%B3%D0%B2%D0%B0%D1%80%D0%B4%D0%B8%D1%8F_%28%D0%91%D1%83%D0%BB%D0%B3%D0%B0%D0%BA%D0%BE%D0%B2%29,https://www.youtube.com/watch?v=VMz0V-2fyWM,video,БЕЛАЯ ГВАРДИЯ. Булгаков М.А. — аудиокнига,11:15:31,,public domain in RU
39,Куприн А.И.,Гранатовый браслет,1911,novella,granatovyy-braslet,13875,https://ru.wikisource.org/wiki/%D0%93%D1%80%D0%B0%D0%BD%D0%B0%D1%82%D0%BE%D0%B2%D1%8B%D0%B9_%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82_%28%D0%9A%D1%83%D0%BF%D1%80%D0%B8%D0%BD%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%93%D1%80%D0%B0%D0%BD%D0%B0%D1%82%D0%BE%D0%B2%D1%8B%D0%B9_%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82_%28%D0%9A%D1%83%D0%BF%D1%80%D0%B8%D0%BD%29,https://www.youtube.com/watch?v=Xbyjxx1lQZQ,video,Александр Иванович Куприн. Гранатовый браслет. аудиокнига,2:09:30,,public domain in RU
40,Бунин И.А.,Тёмные аллеи,1946,stories,tyomnye-allei,1273,https://ru.wikisource.org/wiki/%D0%A2%D1%91%D0%BC%D0%BD%D1%8B%D0%B5_%D0%B0%D0%BB%D0%BB%D0%B5%D0%B8_%28%D0%91%D1%83%D0%BD%D0%B8%D0%BD%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%A2%D1%91%D0%BC%D0%BD%D1%8B%D0%B5_%D0%B0%D0%BB%D0%BB%D0%B5%D0%B8_%28%D0%91%D1%83%D0%BD%D0%B8%D0%BD%29,https://www.youtube.com/watch?v=6_03Bpqs7YQ,video,Иван Бунин — Тёмные аллеи (чит. Василий Куприянов),10:37:56,,public domain in RU
41,Достоевский Ф.М.,Игрок,1866,novel,igrok,43923,https://ru.wikisource.org/wiki/%D0%98%D0%B3%D1%80%D0%BE%D0%BA_%28%D0%94%D0%BE%D1%81%D1%82%D0%BE%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%98%D0%B3%D1%80%D0%BE%D0%BA_%28%D0%94%D0%BE%D1%81%D1%82%D0%BE%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9%29,https://www.youtube.com/watch?v=FK9HwOco8s8,video,Игрок. Роман. Достоевский. Аудиокниги,6:12:36,,public domain in RU
42,Салтыков-Щедрин М.Е.,Господа Головлёвы,1880,novel,gospoda-golovlevy,89173,https://ru.wikisource.org/wiki/%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D0%B0_%D0%93%D0%BE%D0%BB%D0%BE%D0%B2%D0%BB%D1%91%D0%B2%D1%8B_%28%D0%A1%D0%B0%D0%BB%D1%82%D1%8B%D0%BA%D0%BE%D0%B2-%D0%A9%D0%B5%D0%B4%D1%80%D0%B8%D0%BD%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D0%B0_%D0%93%D0%BE%D0%BB%D0%BE%D0%B2%D0%BB%D1%91%D0%B2%D1%8B_%28%D0%A1%D0%B0%D0%BB%D1%82%D1%8B%D0%BA%D0%BE%D0%B2-%D0%A9%D0%B5%D0%B4%D1%80%D0%B8%D0%BD%29,https://www.youtube.com/watch?v=eFS0jQOlijs,video,Господа Головлёвы. Салтыков-Щедрин. Роман,12:29:12,,public domain in RU
43,Пушкин А.С.,Медный всадник,1837,poem,mednyy-vsadnik,2107,https://ru.wikisource.org/wiki/%D0%9C%D0%B5%D0%B4%D0%BD%D1%8B%D0%B9_%D0%B2%D1%81%D0%B0%D0%B4%D0%BD%D0%B8%D0%BA_%28%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%9C%D0%B5%D0%B4%D0%BD%D1%8B%D0%B9_%D0%B2%D1%81%D0%B0%D0%B4%D0%BD%D0%B8%D0%BA_%28%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD%29,https://www.youtube.com/watch?v=1RoXw89GjaM,video,«Медный всадник». А.С. Пушкин. Читает Владимир Антоник,30:49,,public domain in RU
44,Чехов А.П.,Дядя Ваня,1897,play,dyadya-vanya,12559,https://ru.wikisource.org/wiki/%D0%94%D1%8F%D0%B4%D1%8F_%D0%92%D0%B0%D0%BD%D1%8F_%28%D0%A7%D0%B5%D1%85%D0%BE%D0%B2%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%94%D1%8F%D0%B4%D1%8F_%D0%92%D0%B0%D0%BD%D1%8F_%28%D0%A7%D0%B5%D1%85%D0%BE%D0%B2%29,https://www.youtube.com/watch?v=JYBBYKKi1W4,video,Чехов. Дядя Ваня. БДТ. Постановка Товстоногова (1986),2:38:20,,public domain in RU
45,Горький М.,Мать,1906,novel,mat,86007,https://ru.wikisource.org/wiki/%D0%9C%D0%B0%D1%82%D1%8C_%28%D0%93%D0%BE%D1%80%D1%8C%D0%BA%D0%B8%D0%B9%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%9C%D0%B0%D1%82%D1%8C_%28%D0%93%D0%BE%D1%80%D1%8C%D0%BA%D0%B8%D0%B9%29,https://www.youtube.com/watch?v=yhzpV9H4dPM,video,Максим Горький. Мать. Аудиокнига,11:59:50,,public domain in RU
46,Толстой Л.Н.,Воскресение,1899,novel,voskresenie,135658,https://ru.wikisource.org/wiki/%D0%92%D0%BE%D1%81%D0%BA%D1%80%D0%B5%D1%81%D0%B5%D0%BD%D0%B8%D0%B5_%28%D0%A2%D0%BE%D0%BB%D1%81%D1%82%D0%BE%D0%B9%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%92%D0%BE%D1%81%D0%BA%D1%80%D0%B5%D1%81%D0%B5%D0%BD%D0%B8%D0%B5_%28%D0%A2%D0%BE%D0%BB%D1%81%D1%82%D0%BE%D0%B9%29,https://www.youtube.com/playlist?list=PLQMl76KwLiCfOZT92blc6iGrU-3_YPAyH,playlist,Лев Николаевич Толстой. Воскресение (часть 2). аудиокнига,9:41:05,no single full upload found — playlist covers the whole book,public domain in RU
47,Гоголь Н.В.,Нос,1836,story,nos,7650,https://ru.wikisource.org/wiki/%D0%9D%D0%BE%D1%81_%28%D0%93%D0%BE%D0%B3%D0%BE%D0%BB%D1%8C%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%9D%D0%BE%D1%81_%28%D0%93%D0%BE%D0%B3%D0%BE%D0%BB%D1%8C%29,https://www.youtube.com/watch?v=rnS74Te0NyM,video,Аудиокнига. Гоголь Николай Васильевич. «Нос»,1:10:28,,public domain in RU
